name,slug
Десерт,
Салат,
Суп,
Основное блюдо,
Закуска,
Выпечка,
Напиток,
Летние,
Зимние,
Осенние,
Весенние,
Русская,
Итальянская,
Японская,
Мексиканская,
Французская,
Греческая,
Индийская,
Китайская,
Средиземноморская,
Азиатская,
Кавказская,
Восточная,
Завтрак,
Обед,
Ужин,
Перекус,
